Id|Extract|Field|Type|Logic|Summary
4f62bd2b-674f-48cb-bb50-9d26497eb4de|TempHtsClientTestsExtracts|SiteCode|Required|SiteCode IS NULL OR SiteCode = 0|SiteCode Required
4f62bd2b-674f-48cb-bb71-9d26497eb4de|TempHtsClientTestsExtracts|TestDate|Logical|TestDate IS NULL|TestDate is Required
4f62bd2b-674f-48cb-bb73-9d26497eb4de|TempHtsClientTestsExtracts|TestResult1|Logical|TestResult1 IS NULL|TestResult1 is Required
4f62bd2b-674f-48cb-bb74-9d26497eb4de|TempHtsClientTestsExtracts|FinalTestResult|Logical|FinalTestResult IS NULL|FinalTestResult is Required
4f62bd2b-674f-48cb-bb75-9d26497eb4de|TempHtsClientTestsExtracts|TestResult2|Logical|TestResult2 IS NULL AND TestResult1 = 'Positive' |TestResult1 is positive and TestResult2 is Missing

4f62bd3b-674f-48cb-bb77-9d26497eb4de|TempHtsPartnerNotificationServicesExtracts|PatientPk|Required|PatientPk IS NULL|PatientPk is Required
4f62bd3b-674f-48cb-bb78-9d26497eb4de|TempHtsPartnerNotificationServicesExtracts|SiteCode|Required|SiteCode IS NULL OR SiteCode = 0|SiteCode is Required

4f62bd4b-674f-48cb-bb80-9d26497eb4de|TempHtsClientTracingExtracts|PatientPk|Required|PatientPk IS NULL|PatientPk is Required
4f62bd4b-674f-48cb-bb81-9d26497eb4de|TempHtsClientTracingExtracts|SiteCode|Required|SiteCode IS NULL OR SiteCode = 0|SiteCode is Required

4f62bd5b-674f-48cb-bb83-9d26497eb4de|TempHtsPartnerTracingExtracts|PatientPk|Required|PatientPk IS NULL|PatientPk is Required
4f62bd5b-674f-48cb-bb84-9d26497eb4de|TempHtsPartnerTracingExtracts|SiteCode|Required|SiteCode IS NULL OR SiteCode = 0|SiteCode is Required

4f62bd7b-674f-48cb-bb83-9d26497eb4de|TempHtsTestKitsExtracts|PatientPk|Required|PatientPk IS NULL|PatientPk is Required
4f62bd7b-674f-48cb-bb84-9d26497eb4de|TempHtsTestKitsExtracts|SiteCode|Required|SiteCode IS NULL OR SiteCode = 0|SiteCode is Required
4f62bd7b-674f-48cb-bb73-9d26497eb4de|TempHtsTestKitsExtracts|TestResult1|Logical|TestResult1 IS NULL|TestResult1 is Required
4f62bd7b-674f-48cb-bb75-9d26497eb4de|TempHtsTestKitsExtracts|TestResult2|Logical|TestResult2 IS NULL AND TestResult1 = 'Positive' |TestResult1 is positive and TestResult2 is Missing

4f62bd8b-674f-48cb-bb83-9d26497eb4de|TempHtsClientsLinkageExtracts|PatientPk|Required|PatientPk IS NULL|PatientPk is Required
4f62bd8b-674f-48cb-bb84-9d26497eb4de|TempHtsClientsLinkageExtracts|SiteCode|Required|SiteCode IS NULL OR SiteCode = 0|SiteCode is Required

2a4c26ea-74f4-11ea-bc55-0242ac130003|TempMetricMigrationExtracts|MetricId|Required|MetricId IS NULL|MetricId is Required
2a4c291a-74f4-11ea-bc55-0242ac130003|TempMetricMigrationExtracts|SiteCode|Required|SiteCode IS NULL OR SiteCode = 0|SiteCode is Required

7266ee30-7a96-11eb-9439-0242ac130002|TempAllergiesChronicIllnessExtracts|PatientPK|Required|PatientPK IS NULL|PatientPK Required
7266ee30-7a96-11eb-9439-0242ac130002|TempAllergiesChronicIllnessExtracts|SiteCode|Required|SiteCode IS NULL OR SiteCode = 0|SiteCode Required
7266ee31-7a96-11eb-9439-0242ac130002|TempIptExtracts|PatientPK|Required|PatientPK IS NULL|PatientPK Required
7266ee31-7a96-11eb-9439-0242ac130002|TempIptExtracts|SiteCode|Required|SiteCode IS NULL OR SiteCode = 0|SiteCode Required
7266ee32-7a96-11eb-9439-0242ac130002|TempDepressionScreeningExtracts|PatientPK|Required|PatientPK IS NULL|PatientPK Required
7266ee32-7a96-11eb-9439-0242ac130002|TempDepressionScreeningExtracts|SiteCode|Required|SiteCode IS NULL OR SiteCode = 0|SiteCode Required
7266ee33-7a96-11eb-9439-0242ac130002|TempContactListingExtracts|PatientPK|Required|PatientPK IS NULL|PatientPK Required
7266ee33-7a96-11eb-9439-0242ac130002|TempContactListingExtracts|SiteCode|Required|SiteCode IS NULL OR SiteCode = 0|SiteCode Required
7266ee34-7a96-11eb-9439-0242ac130002|TempGbvScreeningExtracts|PatientPK|Required|PatientPK IS NULL|PatientPK Required
7266ee34-7a96-11eb-9439-0242ac130002|TempGbvScreeningExtracts|SiteCode|Required|SiteCode IS NULL OR SiteCode = 0|SiteCode Required
7266ee35-7a96-11eb-9439-0242ac130002|TempEnhancedAdherenceCounsellingExtracts|PatientPK|Required|PatientPK IS NULL|PatientPK Required
7266ee35-7a96-11eb-9439-0242ac130002|TempEnhancedAdherenceCounsellingExtracts|SiteCode|Required|SiteCode IS NULL OR SiteCode = 0|SiteCode Required
7266ee36-7a96-11eb-9439-0242ac130002|TempDrugAlcoholScreeningExtracts|PatientPK|Required|PatientPK IS NULL|PatientPK Required
7266ee36-7a96-11eb-9439-0242ac130002|TempDrugAlcoholScreeningExtracts|SiteCode|Required|SiteCode IS NULL OR SiteCode = 0|SiteCode Required
7266ee37-7a96-11eb-9439-0242ac130002|TempOvcExtracts|PatientPK|Required|PatientPK IS NULL|PatientPK Required
7266ee37-7a96-11eb-9439-0242ac130002|TempOvcExtracts|SiteCode|Required|SiteCode IS NULL OR SiteCode = 0|SiteCode Required
7266ee38-7a96-11eb-9439-0242ac130002|TempOtzExtracts|PatientPK|Required|PatientPK IS NULL|PatientPK Required
7266ee38-7a96-11eb-9439-0242ac130002|TempOtzExtracts|SiteCode|Required|SiteCode IS NULL OR SiteCode = 0|SiteCode Required
